Model,Architecture,Epochs,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Training_Time
model1,32 -> 16 -> 1,10,0.8188,0.8194,85982.8783,85864.8502,15.1129
model1,32 -> 16 -> 1,20,0.8488,0.8487,78551.359,78577.7685,30.6848
model1,32 -> 16 -> 1,30,0.8907,0.8912,66791.5395,66640.8465,43.8717
model1,32 -> 16 -> 1,40,0.8915,0.8922,66530.0566,66319.5024,56.7951
model1,32 -> 16 -> 1,50,0.8994,0.9,64065.0779,63888.0198,71.3689
model2,32 -> 16 -> 8 -> 1,10,0.8684,0.8684,73280.9119,73298.5157,16.3057
model2,32 -> 16 -> 8 -> 1,20,0.9032,0.9039,62847.9603,62637.9959,32.0963
model2,32 -> 16 -> 8 -> 1,30,0.9026,0.903,63043.101,62936.1735,47.5518
model2,32 -> 16 -> 8 -> 1,40,0.9105,0.9109,60417.6163,60321.4409,64.8382
model2,32 -> 16 -> 8 -> 1,50,0.9077,0.9084,61362.0408,61152.6244,77.6093
model3,64 -> 32 -> 16 -> 8 -> 1,10,0.9064,0.907,61791.4334,61605.2851,18.5435
model3,64 -> 32 -> 16 -> 8 -> 1,20,0.9175,0.9179,58023.6381,57885.0226,35.8878
model3,64 -> 32 -> 16 -> 8 -> 1,30,0.9176,0.9175,57969.3462,58021.6634,53.8723
model3,64 -> 32 -> 16 -> 8 -> 1,40,0.9228,0.9224,56127.3501,56265.1722,71.7005
model3,64 -> 32 -> 16 -> 8 -> 1,50,0.9208,0.9205,56832.0162,56959.5257,88.893
model4,128 -> 64 -> 32 -> 16 -> 8 -> 1,10,0.9163,0.9168,58424.8341,58259.8143,21.7189
model4,128 -> 64 -> 32 -> 16 -> 8 -> 1,20,0.9237,0.9233,55807.3299,55961.8992,42.7896
model4,128 -> 64 -> 32 -> 16 -> 8 -> 1,30,0.9225,0.9225,56217.7797,56249.8899,64.155
model4,128 -> 64 -> 32 -> 16 -> 8 -> 1,40,0.9264,0.9257,54793.8826,55082.0213,85.6268
model4,128 -> 64 -> 32 -> 16 -> 8 -> 1,50,0.9262,0.9254,54892.3573,55165.3774,107.9068
model5,256 -> 128 -> 64 -> 32 -> 16 -> 8 -> 1,10,0.9201,0.92,57098.804,57152.2979,32.0035
model5,256 -> 128 -> 64 -> 32 -> 16 -> 8 -> 1,20,0.9258,0.925,55026.6102,55316.7127,62.7032
model5,256 -> 128 -> 64 -> 32 -> 16 -> 8 -> 1,30,0.9294,0.9279,53654.6073,54231.0056,99.1184
model5,256 -> 128 -> 64 -> 32 -> 16 -> 8 -> 1,40,0.9314,0.9296,52892.191,53594.0852,124.8613
model5,256 -> 128 -> 64 -> 32 -> 16 -> 8 -> 1,50,0.9336,0.9313,52049.6565,52953.0807,146.7962
