loss,val_loss
367021916160.0,255738019840.0
123352981504.0,34188216320.0
20901763072.0,15461417984.0
13593852928.0,11658083328.0
10824684544.0,9836375040.0
9504714752.0,8967469056.0
8829348864.0,8493724672.0
8417022464.0,8180735488.0
8130763776.0,7953126912.0
7906008576.0,7768928768.0
7716773888.0,7600753664.0
7551547392.0,7447223296.0
7401695744.0,7316486656.0
7266944512.0,7194928128.0
7141981184.0,7079678976.0
7022452224.0,6957689856.0
6891132416.0,6818392064.0
6730474496.0,6637305856.0
6528658432.0,6416596992.0
6296710656.0,6174467072.0
