admin1,location
Kachin,Hseng Taung (Ywar Haung)
Kachin,Hseng Taung (Ywar Haung)
Shan-South,Lel Kyar
Shan-South,Lel Kyar
Sagaing,Nyaung Pin Kan
Sagaing,Nyaung Pin Kan
Magway,Ywar Taw
Magway,Ywar Taw
Kachin,Hseng Taung (Ywar Haung)
Kachin,Hseng Taung (Ywar Haung)
Chin,Tlanglo
Chin,Tlanglo
Sagaing,Salingyi
Shan-North,Muse
Shan-North,Muse
Sagaing,Myo Thit
Sagaing,Myo Thit
Shan-South,Nyaung Mun
Shan-South,Nyaung Mun
Kachin,Ma Sut Yang
Kachin,Ma Sut Yang
Sagaing,Yinmarbin
Magway,Yesagyo
Magway,Yesagyo
Shan-South,Pekon
Shan-South,Pekon
Mon,Kin Mun Chaung
Mon,Kin Mun Chaung
Kachin,Nam Mar
Kachin,Nam Mar
Sagaing,Banmauk
Sagaing,Banmauk
Shan-South,Taung Poet Gyi
Shan-South,Taung Poet Gyi
Sagaing,Pay Pin Chaung
Sagaing,Pay Pin Chaung
Ayeyarwady,Ma Yin Kone
Ayeyarwady,Ma Yin Kone
Sagaing,Salingyi
Shan-South,Moe Bye
Shan-South,Moe Bye
Kayah,War Yi Kaw Khu
Kayah,War Yi Kaw Khu
Sagaing,Monywa
Sagaing,Monywa
Mon,Bilin
Sagaing,La Paing Tin
Sagaing,La Paing Tin
Sagaing,Sin Hpyu Seik
Sagaing,Sin Hpyu Seik
Sagaing,Yinmarbin
Sagaing,Khin-U
Ayeyarwady,Kyangin
Magway,Nyaung Twin (West)
Magway,Nyaung Twin (West)
Kachin,Nam Mar
Kachin,Nam Mar
Sagaing,In Ma Htee
Sagaing,In Ma Htee
Sagaing,Sin Hpyu Seik
Sagaing,Sin Hpyu Seik
Shan-North,Hseni
Shan-North,Hseni
Sagaing,Shwebo
Mandalay,Htan Zin (North)
Mandalay,Htan Zin (North)
Shan-South,Moe Bye
Shan-South,Moe Bye
Sagaing,Aung Kone
Sagaing,Aung Kone
Sagaing,Sin Hpyu Seik (West)
Sagaing,Sin Hpyu Seik (West)
Shan-South,Lel Kyar
Shan-South,Lel Kyar
Sagaing,Thea Kaw
Sagaing,Thea Kaw
Sagaing,Ta Pin Kaung (South)
Sagaing,Ta Pin Kaung (South)
Sagaing,Tha Khut Taw (South)
Sagaing,Tha Khut Taw (South)
Mandalay,Chanmyathazi
Mandalay,Chanmyathazi
Shan-South,Pekon
Shan-South,Pekon
Sagaing,Shwe Hlay
Sagaing,Shwe Hlay
Sagaing,Salingyi
Sagaing,Salingyi
Sagaing,Chaung Thar
Sagaing,Chaung Thar
Kachin,Hpakant
Kachin,Hpakant
Sagaing,Salingyi
Sagaing,Salingyi
Sagaing,Maw Lu
Sagaing,Maw Lu
Mandalay,Madaya
Mandalay,Madaya
Bago-West,Thayarwady
Bago-West,Thayarwady
Mon,Ah Sin
Magway,Pauk
Magway,Pauk
Kayin,Kwin Ka Lay
Kayin,Kwin Ka Lay
Sagaing,Ta Pin Kaung (South)
Sagaing,Ta Pin Kaung (South)
Magway,Te Kone
Magway,Te Kone
Kayin,Thandaunggyi
Kayin,Thandaunggyi
Tanintharyi,Tha Yet Hnit Khwa
Tanintharyi,Tha Yet Hnit Khwa
Mon,Moke Pa Lin
Mon,Moke Pa Lin
Shan-South,Hlwa Sin
Shan-South,Hlwa Sin
Sagaing,Wea Gyi
Sagaing,Wea Gyi
Magway,Kan Beit
Magway,Kan Beit
Kachin,Hpakant
Kachin,Hpakant
Rakhine,Rathedaung
Rakhine,Rathedaung
Kayin,Hpa-An
Kayin,Hpa-An
Magway,Nyaung Twin (West)
Magway,Nyaung Twin (West)
Magway,Pauk
Magway,Pauk
Magway,Tha Ra Hpi
Magway,Tha Ra Hpi
Sagaing,Ma Ra Thein
Sagaing,Tigyaing
Sagaing,Tigyaing
Tanintharyi,Thayetchaung
Tanintharyi,Thayetchaung
Tanintharyi,Thayetchaung
Tanintharyi,Thayetchaung
Sagaing,Taw Ma
Sagaing,Taw Ma
Sagaing,Hpon Kone Lay
Sagaing,Hpon Kone Lay
Kayin,Hpar Chaung (Ah Twin Me Ka Nei)
Shan-South,Hsa Long (North)
Shan-South,Hsa Long (North)
Sagaing,Yinmarbin
Sagaing,Taze
Ayeyarwady,Kyangin
Magway,Tha Pyay Aye
Magway,Tha Pyay Aye
Tanintharyi,Gyint Gar
Tanintharyi,Gyint Gar
Tanintharyi,Kye
Tanintharyi,Kye
Magway,Nyaung Twin (West)
Magway,Nyaung Twin (West)
Magway,Nyaung Twin (West)
Magway,Nyaung Twin (West)
Magway,Myaing
Magway,Myaing
Magway,Kan Thit
Magway,Kan Thit
Magway,Pin Taung
Magway,Pin Taung
Magway,Pauk
Magway,Pauk
Sagaing,Monywa
Sagaing,Monywa
Shan-North,Mabein
Shan-North,Mabein
Sagaing,Inn Da Yant
Sagaing,Inn Da Yant
Tanintharyi,Pu Law Kone
Tanintharyi,Pu Law Kone
Sagaing,Nar Taung Kya
Sagaing,Nar Taung Kya
Magway,Pauk
Magway,Pauk
Chin,Mindat
Chin,Mindat
Kachin,Shwegu
Kachin,Shwegu
Sagaing,Aung Kone
Sagaing,Aung Kone
Magway,Myay Khe Taung
Magway,Myay Khe Taung
Yangon,Mayangone
Yangon,Mayangone
Mandalay,Thabeikkyin
Mandalay,Thabeikkyin
Sagaing,Shwebo
Sagaing,Inn Gaung
Sagaing,Inn Gaung
Sagaing,Kyar (Middle)
Sagaing,Kyar (Middle)
Sagaing,Nyaung Kan (North)
Sagaing,Nyaung Kan (North)
Mandalay,Aung Chan Thar
Mandalay,Aung Chan Thar
Sagaing,Tigyaing
Sagaing,Tigyaing
Kachin,Hpakant
Kachin,Hpakant
Tanintharyi,Yae Nge (Ya Nge)
Tanintharyi,Yae Nge (Ya Nge)
Sagaing,Aung Chan Thar
Shan-North,Nawnghkio
Tanintharyi,Myeik
Tanintharyi,Myeik
Tanintharyi,Maung Mei Shaung
Tanintharyi,Maung Mei Shaung
Sagaing,Yinmarbin
Ayeyarwady,Kyangin
Kachin,Bhamo
Kachin,Bhamo
Magway,Yesagyo
Yangon,Insein
Yangon,Insein
Magway,Pa Daing Taw (East)
Magway,Pa Daing Taw (East)
Magway,Yesagyo
Magway,Yesagyo
Sagaing,Mu Thar
Sagaing,Mu Thar
Sagaing,Taung Myo
Sagaing,Taung Myo
Sagaing,Ywar Thit
Sagaing,Ywar Thit
Sagaing,Ywar Htaung
Sagaing,Ywar Htaung
Sagaing,Mu Thar
Sagaing,Mu Thar
Sagaing,Ywar Thit
Sagaing,Ywar Thit
Mandalay,Kin
Mandalay,Kin
Shan-South,Kunhing
Shan-South,Kunhing
Tanintharyi,Ma Gyi Kone
Tanintharyi,Ma Gyi Kone
Magway,Pa Daing Taw (East)
Magway,Pa Daing Taw (East)
Tanintharyi,Me Chaung
Tanintharyi,Me Chaung
Mon,Ka Lein Pa Daw
Mon,Ka Lein Pa Daw
Tanintharyi,Palaw
Tanintharyi,Palaw
Shan-South,Pekon
Shan-South,Pekon
Kayah,Haw Khan
Sagaing,Aung Kone
Sagaing,Aung Kone
Sagaing,Ta Pa Yin Kwe
Sagaing,Ta Pa Yin Kwe
Sagaing,Ta Pa Yin Kwe
Sagaing,Ta Pa Yin Kwe
Sagaing,Aung Chan Thar
Sagaing,Aung Chan Thar
Sagaing,Aung Chan Thar
Sagaing,Aung Chan Thar
Sagaing,Bo Te Kone
Sagaing,Bo Te Kone
Kayin,Me Ka Nei Lan
Kayin,Me Ka Nei Lan
Magway,Pa Khan Gyi
Magway,Pa Khan Gyi
Kachin,Hpakant
Kachin,Hpakant
Tanintharyi,Thar Yar Kone
Tanintharyi,Thar Yar Kone
Tanintharyi,Ka Myaw Gyi
Tanintharyi,Ka Myaw Gyi
Magway,Kyaukhtu
Magway,Kyaukhtu
Magway,Kyaukhtu
Magway,Kyaukhtu
Sagaing,Tigyaing
Sagaing,Tigyaing
Bago-East,Nyaung Kone
Bago-East,Nyaung Kone
Bago-East,Nyaung Kone
Sagaing,Lay Twin Zin
Sagaing,Lay Twin Zin
Sagaing,Chaung Thar
Sagaing,Chaung Thar
Ayeyarwady,Pathein
Yangon,Thingangyun
Yangon,Thingangyun
Kayin,Me Ka Nei Lan
Kayin,Me Ka Nei Lan
Chin,Rihkhawdar
Chin,Rihkhawdar
