month,year,month,num_events
0,1997,1,3
1,1997,2,1
2,1997,3,1
3,1997,4,2
4,1997,6,2
5,1997,7,2
6,1997,9,2
7,1997,11,3
8,1997,12,2
9,1998,2,1
10,1998,3,3
11,1998,4,1
12,1998,6,6
13,1998,7,3
14,1998,8,1
15,1998,12,1
16,1999,1,4
17,1999,2,2
18,1999,4,2
19,1999,5,1
20,1999,6,4
21,1999,7,4
22,1999,8,2
23,1999,9,3
24,1999,10,3
25,1999,11,3
26,1999,12,7
27,2000,1,2
28,2000,2,2
29,2000,3,4
30,2000,4,6
31,2000,5,13
32,2000,6,9
33,2000,7,3
34,2000,8,4
35,2000,9,7
36,2000,10,5
37,2000,11,4
38,2000,12,1
39,2001,1,2
40,2001,3,7
41,2001,4,3
42,2001,5,6
43,2001,6,5
44,2001,7,5
45,2001,8,2
46,2001,9,2
47,2001,10,4
48,2001,11,4
49,2001,12,4
50,2002,1,5
51,2002,2,9
52,2002,3,5
53,2002,4,2
54,2002,6,3
55,2002,7,2
56,2002,8,1
57,2002,9,3
58,2002,10,4
59,2002,11,1
60,2003,1,3
61,2003,2,3
62,2003,3,2
63,2003,4,1
64,2003,5,4
65,2003,6,5
66,2003,7,4
67,2003,8,1
68,2003,9,2
69,2003,10,2
70,2003,11,3
71,2003,12,4
72,2004,1,3
73,2004,2,1
74,2004,3,5
75,2004,4,8
76,2004,5,5
77,2004,6,4
78,2004,7,3
79,2004,8,7
80,2004,9,5
81,2004,10,1
82,2004,11,5
83,2004,12,4
84,2005,1,5
85,2005,2,3
86,2005,3,5
87,2005,4,7
88,2005,5,1
89,2005,6,2
90,2005,7,1
91,2005,8,1
92,2005,9,1
93,2005,10,3
94,2005,11,4
95,2005,12,3
96,2006,1,2
97,2006,2,3
98,2006,3,5
99,2006,4,3
100,2006,5,10
101,2006,6,7
102,2006,7,2
103,2006,9,1
104,2006,10,3
105,2006,11,4
106,2006,12,1
107,2007,1,7
108,2007,2,5
109,2007,3,3
110,2007,4,5
111,2007,5,6
112,2007,6,2
113,2007,7,2
114,2007,8,8
